areaLand,isPartOf_label
1.66e+08,{Amsterdam (VOC ship)|North Holland}
{6.27e+07|6.27036e+07},{Iowa|Story County Iowa}
NULL,Guerrero
{1.595e+07|1.59543e+07},{Clatsop County Oregon|Oregon}
NULL,{Abadan County|Central District (Abadan County)|Khuzestan Province}
{1.142e+07|1.14218e+07},{Calhoun County Michigan|Michigan}
NULL,{Alacantí|Province of Alicante|Valencian Community}
NULL,{Abadeh County|Central District (Abadeh County)|Fars Province}
NULL,{Ajmer district|Rajasthan}
{4.014e+07|4.01448e+07},{Brown County South Dakota|South Dakota}
{2.7482e+07|2.74824e+07},{Alameda County California|California}
NULL,{Aveiro District|Baixo Vouga Subregion|Centro Region Portugal}
NULL,NULL
{1.05154e+08|1.052e+08},{Erie County New York|New York}
{1.665e+07|1.66536e+07},{Massachusetts|Middlesex County Massachusetts}
{5.62468e+08|5.6247e+08},{Delaware County Ohio|Fairfield County Ohio|Franklin County Ohio|Ohio}
{2.0124e+08|2.01242e+08},{Cuyahoga County Ohio|Ohio}
NULL,NULL
{4.811e+08|5.02717e+08},{Colorado|El Paso County Colorado}
1.85e+07,NULL
NULL,Tunis Governorate
NULL,{Ceremonial counties of England|City status in the United Kingdom|England|Greater London|Guildhall London|Sui generis}
5.88445e+08,{Cook County Illinois|DuPage County Illinois|Illinois}
{4.03e+08|4.04038e+08},Nevada
{1.4413e+08|1.44133e+08},{Montgomery County Ohio|Ohio}
NULL,NULL
{3.97045e+08|3.972e+08},Colorado
1.6304e+08,{Iowa|Scott County Iowa}
{3.5936e+08|3.59361e+08},{Michigan|Wayne County Michigan}
8.775e+07,North Brabant
NULL,NULL
NULL,Scotland
{1.1323e+08|1.13234e+08},{Lane County Oregon|Oregon}
NULL,NULL
NULL,NULL
NULL,{Basque Country (autonomous community)|Biscay|Busturialdea}
{1.2916e+08|1.29163e+08},{Calumet Township Lake County Indiana|Hobart Township Lake County Indiana|Indiana|Lake County Indiana}
NULL,NULL
{1.5529e+09|1.55293e+09},{Fort Bend County Texas|Harris County Texas|Montgomery County Texas|Texas}
NULL,Herat Province
NULL,NULL
1.11711e+09,NULL
3.38e+08,{Hedmark|ISO 3166-2:NO}
{1.41e+07|1.42449e+07},{New York|Tompkins County New York}
NULL,Jerusalem District
{2.7169e+08|2.717e+08},{Hinds County Mississippi|Madison County Mississippi|Mississippi|Rankin County Mississippi}
NULL,Kabul Province
NULL,{Kagoshima Prefecture|Kyushu}
NULL,Sindh
NULL,{Bagmati Zone|Kathmandu District}
NULL,Kandahar Province
NULL,NULL
{9.33691e+07|9.337e+07},{Eaton County Michigan|Ingham County Michigan|Michigan}
